//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 8-8-2016
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:1.0, 3.68     AFR:9.7, 18.2
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	6.53	65 	0.000
1	6.54	65 	0.005
2	6.56	66 	0.010
3	6.57	66 	0.015
4	6.59	66 	0.020
5	6.61	66 	0.024
6	6.62	66 	0.029
7	6.64	66 	0.034
8	6.65	67 	0.039
9	6.67	67 	0.044
10	6.68	67 	0.049
11	6.70	67 	0.054
12	6.71	67 	0.059
13	6.73	67 	0.063
14	6.75	67 	0.068
15	6.76	68 	0.073
16	6.78	68 	0.078
17	6.79	68 	0.083
18	6.81	68 	0.088
19	6.82	68 	0.093
20	6.84	68 	0.098
21	6.85	69 	0.103
22	6.87	69 	0.107
23	6.88	69 	0.112
24	6.90	69 	0.117
25	6.92	69 	0.122
26	6.93	69 	0.127
27	6.95	69 	0.132
28	6.96	70 	0.137
29	6.98	70 	0.142
30	6.99	70 	0.146
31	7.01	70 	0.151
32	7.02	70 	0.156
33	7.04	70 	0.161
34	7.05	71 	0.166
35	7.07	71 	0.171
36	7.09	71 	0.176
37	7.10	71 	0.181
38	7.12	71 	0.186
39	7.13	71 	0.190
40	7.15	71 	0.195
41	7.16	72 	0.200
42	7.18	72 	0.205
43	7.19	72 	0.210
44	7.21	72 	0.215
45	7.23	72 	0.220
46	7.24	72 	0.225
47	7.26	73 	0.229
48	7.27	73 	0.234
49	7.29	73 	0.239
50	7.30	73 	0.244
51	7.32	73 	0.249
52	7.33	73 	0.254
53	7.35	73 	0.259
54	7.36	74 	0.264
55	7.38	74 	0.269
56	7.40	74 	0.273
57	7.41	74 	0.278
58	7.43	74 	0.283
59	7.44	74 	0.288
60	7.46	75 	0.293
61	7.47	75 	0.298
62	7.49	75 	0.303
63	7.50	75 	0.308
64	7.52	75 	0.313
65	7.53	75 	0.317
66	7.55	76 	0.322
67	7.57	76 	0.327
68	7.58	76 	0.332
69	7.60	76 	0.337
70	7.61	76 	0.342
71	7.63	76 	0.347
72	7.64	76 	0.352
73	7.66	77 	0.356
74	7.67	77 	0.361
75	7.69	77 	0.366
76	7.71	77 	0.371
77	7.72	77 	0.376
78	7.74	77 	0.381
79	7.75	78 	0.386
80	7.77	78 	0.391
81	7.78	78 	0.396
82	7.80	78 	0.400
83	7.81	78 	0.405
84	7.83	78 	0.410
85	7.84	78 	0.415
86	7.86	79 	0.420
87	7.88	79 	0.425
88	7.89	79 	0.430
89	7.91	79 	0.435
90	7.92	79 	0.439
91	7.94	79 	0.444
92	7.95	80 	0.449
93	7.97	80 	0.454
94	7.98	80 	0.459
95	8.00	80 	0.464
96	8.02	80 	0.469
97	8.03	80 	0.474
98	8.05	80 	0.479
99	8.06	81 	0.483
100	8.08	81 	0.488
101	8.09	81 	0.493
102	8.11	81 	0.498
103	8.12	81 	0.503
104	8.14	81 	0.508
105	8.15	82 	0.513
106	8.17	82 	0.518
107	8.19	82 	0.522
108	8.20	82 	0.527
109	8.22	82 	0.532
110	8.23	82 	0.537
111	8.25	82 	0.542
112	8.26	83 	0.547
113	8.28	83 	0.552
114	8.29	83 	0.557
115	8.31	83 	0.562
116	8.32	83 	0.566
117	8.34	83 	0.571
118	8.36	84 	0.576
119	8.37	84 	0.581
120	8.39	84 	0.586
121	8.40	84 	0.591
122	8.42	84 	0.596
123	8.43	84 	0.601
124	8.45	84 	0.605
125	8.46	85 	0.610
126	8.48	85 	0.615
127	8.50	85 	0.620
128	8.51	85 	0.625
129	8.53	85 	0.630
130	8.54	85 	0.635
131	8.56	86 	0.640
132	8.57	86 	0.645
133	8.59	86 	0.649
134	8.60	86 	0.654
135	8.62	86 	0.659
136	8.63	86 	0.664
137	8.65	87 	0.669
138	8.67	87 	0.674
139	8.68	87 	0.679
140	8.70	87 	0.684
141	8.71	87 	0.688
142	8.73	87 	0.693
143	8.74	87 	0.698
144	8.76	88 	0.703
145	8.77	88 	0.708
146	8.79	88 	0.713
147	8.80	88 	0.718
148	8.82	88 	0.723
149	8.84	88 	0.728
150	8.85	89 	0.732
151	8.87	89 	0.737
152	8.88	89 	0.742
153	8.90	89 	0.747
154	8.91	89 	0.752
155	8.93	89 	0.757
156	8.94	89 	0.762
157	8.96	90 	0.767
158	8.98	90 	0.771
159	8.99	90 	0.776
160	9.01	90 	0.781
161	9.02	90 	0.786
162	9.04	90 	0.791
163	9.05	91 	0.796
164	9.07	91 	0.801
165	9.08	91 	0.806
166	9.10	91 	0.811
167	9.11	91 	0.815
168	9.13	91 	0.820
169	9.15	91 	0.825
170	9.16	92 	0.830
171	9.18	92 	0.835
172	9.19	92 	0.840
173	9.21	92 	0.845
174	9.22	92 	0.850
175	9.24	92 	0.854
176	9.25	93 	0.859
177	9.27	93 	0.864
178	9.28	93 	0.869
179	9.30	93 	0.874
180	9.32	93 	0.879
181	9.33	93 	0.884
182	9.35	93 	0.889
183	9.36	94 	0.894
184	9.38	94 	0.898
185	9.39	94 	0.903
186	9.41	94 	0.908
187	9.42	94 	0.913
188	9.44	94 	0.918
189	9.46	95 	0.923
190	9.47	95 	0.928
191	9.49	95 	0.933
192	9.50	95 	0.938
193	9.52	95 	0.942
